Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
05/24/2019,34,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,34,0,12,29,29
05/25/2019,45,Ozone,BAYSIDE,55-079-0085,AQS,3,45,0,15,33,18
05/26/2019,34,Ozone,BAYSIDE,55-079-0085,AQS,3,34,0,11,24,16
05/27/2019,39,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,34,0,14,39,18
05/28/2019,36,Ozone,BAYSIDE,55-079-0085,AQS,5,36,0,13,32,22
05/29/2019,43,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,36,0,16,43,26
05/30/2019,45,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,6,45,1,16,28,37
05/31/2019,67,Ozone,BAYSIDE,55-079-0085,AQS,6,67,0,32,56,28
6/1/2019,55,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,43,0,21,55,21
6/2/2019,34,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,34,0,12,29,18
6/3/2019,29,Ozone,BAYSIDE,55-079-0085,AQS,2,29,0,11,15,11
6/4/2019,61,Ozone,HARRINGTON BEACH PARK,55-089-0009,AQS,5,61,3,21,49,38
6/5/2019,51,Ozone,BAYSIDE,55-079-0085,AQS,5,51,0,21,45,25
6/6/2019,45,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,45,0,16,40,23
6/7/2019,50,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,50,0,19,43,30
6/8/2019,51,Ozone,GRAFTON,55-089-0008,AQS,5,51,1,20,47,31
6/9/2019,53,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,44,0,19,53,22
6/10/2019,37,Ozone,BAYSIDE,55-079-0085,AQS,5,37,0,15,22,30
6/11/2019,50,Ozone,BAYSIDE,55-079-0085,AQS,5,50,1,23,38,32
6/12/2019,44,Ozone,BAYSIDE,55-079-0085,AQS,3,44,0,13,31,24
06/13/2019,32,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,32,0,15,21,17
06/14/2019,51,Ozone,BAYSIDE,55-079-0085,AQS,3,51,0,19,29,23
06/15/2019,38,Ozone,BAYSIDE,55-079-0085,AQS,3,38,0,14,34,10
06/16/2019,27,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,2,27,0,9,24,15
06/17/2019,33,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,33,0,14,30,25
06/18/2019,48,Ozone,GRAFTON,55-089-0008,AQS,3,48,0,15,42,25
06/19/2019,32,Ozone,BAYSIDE,55-079-0085,AQS,3,32,0,10,31,26
06/20/2019,40,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,27,1,15,40,25
06/21/2019,32,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,30,1,16,32,25
06/22/2019,44,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,44,1,19,32,12
06/23/2019,47,Ozone,BAYSIDE,55-079-0085,AQS,2,47,0,13,37,13
06/24/2019,39,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,39,1,20,30,27
06/25/2019,45,Ozone,BAYSIDE,55-079-0085,AQS,5,45,1,28,36,23
06/26/2019,71,Ozone,GRAFTON,55-089-0008,AQS,5,71,0,22,40,45
06/27/2019,108,Ozone,GRAFTON,55-089-0008,AQS,6,108,1,20,52,44
06/28/2019,50,Ozone,BAYSIDE,55-079-0085,AQS,3,50,1,14,32,39
06/29/2019,64,Ozone,GRAFTON,55-089-0008,AQS,5,64,1,17,40,31
06/30/2019,46,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,46,3,16,38,28
7/1/2019,51,Ozone,GRAFTON,55-089-0008,AQS,5,51,1,18,30,26
7/2/2019,51,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,51,1,22,37,27
7/3/2019,44,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,44,0,14,28,15
7/4/2019,71,Ozone,BAYSIDE,55-079-0085,AQS,5,71,1,16,62,12
7/5/2019,77,Ozone,BAYSIDE,55-079-0085,AQS,5,77,0,18,44,14
7/6/2019,79,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,6,41,0,28,79,8
7/7/2019,58,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,28,0,19,58,11
7/8/2019,58,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,34,0,25,58,35
7/9/2019,115,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,115,3,34,64,32
7/10/2019,53,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,6,47,1,24,53,25
7/11/2019,40,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,40,0,15,28,25
7/12/2019,45,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,45,1,19,37,25
07/13/2019,44,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,38,0,23,44,9
07/14/2019,41,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,37,3,15,41,12
07/15/2019,40,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,39,1,27,40,19
07/16/2019,48,Ozone,GRAFTON,55-089-0008,AQS,3,48,0,22,43,27
07/17/2019,49,Ozone,GRAFTON,55-089-0008,AQS,5,49,0,18,37,25
07/18/2019,46,Ozone,GRAFTON,55-089-0008,AQS,5,46,0,14,32,32
07/19/2019,47,Ozone,HARRINGTON BEACH PARK,55-089-0009,AQS,5,47,0,18,37,25
07/20/2019,38,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,38,0,8,20,12
07/21/2019,32,Ozone,GRAFTON,55-089-0008,AQS,3,32,0,10,21,9
07/22/2019,31,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,31,0,8,21,27
07/23/2019,43,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,39,0,14,43,25
07/24/2019,55,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,44,3,22,55,23
07/25/2019,90,Ozone,HARRINGTON BEACH PARK,55-089-0009,AQS,6,90,1,25,56,30
07/26/2019,93,Ozone,GRAFTON,55-089-0008,AQS,5,93,1,24,55,29
07/27/2019,58,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,58,0,25,56,9
07/28/2019,61,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,61,3,24,57,11
07/29/2019,41,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,41,3,19,37,21
07/30/2019,31,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,31,0,10,19,20
07/31/2019,31,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,31,0,13,20,24
8/1/2019,44,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,44,0,20,28,27
8/2/2019,67,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,6,67,1,23,39,30
8/3/2019,44,Ozone,BAYSIDE,55-079-0085,AQS,5,44,0,17,39,29
8/4/2019,39,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,39,0,14,37,13
8/5/2019,48,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,48,0,21,41,22
8/6/2019,42,Ozone,GRAFTON,55-089-0008,AQS,3,42,0,14,25,28
8/7/2019,40,Ozone,BAYSIDE,55-079-0085,AQS,5,40,0,19,33,20
8/8/2019,31,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,31,0,14,29,20
8/9/2019,28,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,28,0,15,25,20
8/10/2019,37,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,37,0,16,29,13
8/11/2019,61,Ozone,GRAFTON,55-089-0008,AQS,5,61,1,14,33,24
8/12/2019,46,Ozone,GRAFTON,55-089-0008,AQS,5,46,0,18,42,26
08/13/2019,33,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,33,0,15,33,26
08/14/2019,28,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,28,1,10,21,21
08/15/2019,28,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,28,7,11,21,20
08/16/2019,49,Ozone,HARRINGTON BEACH PARK,55-089-0009,AQS,5,49,7,19,30,25
08/17/2019,43,Ozone,GRAFTON,55-089-0008,AQS,5,43,3,16,32,15
08/18/2019,37,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,37,0,8,20,16
08/19/2019,40,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,40,0,16,24,26
08/20/2019,40,Ozone,GRAFTON,55-089-0008,AQS,5,40,0,13,37,26
08/21/2019,35,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,35,0,14,28,19
08/22/2019,26,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,26,0,12,20,20
08/23/2019,24,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,24,0,8,15,19
08/24/2019,30,Ozone,GRAFTON,55-089-0008,AQS,5,30,0,15,27,17
08/25/2019,37,Ozone,HARRINGTON BEACH PARK,55-089-0009,AQS,2,37,0,15,30,6
08/26/2019,33,Ozone,GRAFTON,55-089-0008,AQS,3,33,0,9,23,14
08/27/2019,34,Ozone,BAYSIDE,55-079-0085,AQS,3,34,0,21,25,17
08/28/2019,32,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,29,0,32,32,23
08/29/2019,43,Ozone,BAYSIDE,55-079-0085,AQS,5,43,0,19,25,16
08/30/2019,39,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,39,0,16,28,32
08/31/2019,40,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,6,34,0,19,40,26
9/1/2019,40,Ozone,GRAFTON,55-089-0008,AQS,3,40,4,13,34,15
9/2/2019,34,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,33,0,12,34,7
9/3/2019,32,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,31,0,14,32,14
9/4/2019,21,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,21,0,8,17,18
9/5/2019,34,Ozone,GRAFTON,55-089-0008,AQS,5,34,4,15,29,17
9/6/2019,25,Ozone,BAYSIDE,55-079-0085,AQS,5,25,0,15,24,21
9/7/2019,30,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,28,0,12,30,16
9/8/2019,19,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,19,0,7,15,6
9/9/2019,34,Ozone,GRAFTON,55-089-0008,AQS,2,34,0,14,30,9
9/10/2019,46,Ozone,BAYSIDE,55-079-0085,AQS,6,46,0,17,40,25
9/11/2019,37,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,6,31,1,18,37,29
9/12/2019,33,Ozone,HARRINGTON BEACH PARK,55-089-0009,AQS,3,33,0,7,22,11
09/13/2019,33,Ozone,HARRINGTON BEACH PARK,55-089-0009,AQS,3,33,0,11,15,21
09/14/2019,40,Ozone,HARRINGTON BEACH PARK,55-089-0009,AQS,5,40,0,12,25,16
09/15/2019,37,Ozone,HARRINGTON BEACH PARK,55-089-0009,AQS,5,37,0,11,28,19
09/16/2019,37,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,32,0,18,37,20
09/17/2019,37,Ozone,GRAFTON,55-089-0008,AQS,3,37,0,15,32,13
09/18/2019,58,Ozone,GRAFTON,55-089-0008,AQS,5,58,3,23,44,26
09/19/2019,45,Ozone,BAYSIDE,55-079-0085,AQS,6,45,6,22,44,37
09/20/2019,105,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,6,105,1,37,68,39
09/21/2019,45,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,41,1,19,45,19
09/22/2019,29,Ozone,GRAFTON,55-089-0008,AQS,3,29,1,12,26,11
09/23/2019,28,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,28,0,13,21,26
09/24/2019,40,Ozone,GRAFTON,55-089-0008,AQS,5,40,1,16,24,21
09/25/2019,33,Ozone,BAYSIDE,55-079-0085,AQS,3,33,1,18,23,16
09/26/2019,31,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,31,0,26,27,29
09/27/2019,28,Ozone,HARRINGTON BEACH PARK,55-089-0009,AQS,5,28,0,14,24,24
09/28/2019,26,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,26,0,7,19,9
09/29/2019,20,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,20,0,6,20,5
09/30/2019,38,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,36,1,15,38,14
10/1/2019,31,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,21,1,14,31,22
10/2/2019,19,Ozone,GRAFTON,55-089-0008,AQS,3,19,0,6,15,13
10/3/2019,19,Ozone,BAYSIDE,55-079-0085,AQS,3,19,0,6,13,15
10/4/2019,34,Ozone,BAYSIDE,55-079-0085,AQS,5,34,0,6,13,17
10/5/2019,31,Ozone,GRAFTON,55-089-0008,AQS,3,31,0,10,24,8
10/6/2019,29,Ozone,BAYSIDE,55-079-0085,AQS,3,29,0,10,19,10
10/7/2019,32,NO2,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,7,28,0,21,29,32
10/8/2019,48,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,7,38,3,36,48,30
10/9/2019,44,Ozone,GRAFTON,55-089-0008,AQS,7,44,6,23,39,35
10/10/2019,38,Ozone,GRAFTON,55-089-0008,AQS,3,38,0,18,36,14
10/11/2019,32,Ozone,GRAFTON,55-089-0008,AQS,3,32,0,10,24,11
10/12/2019,34,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,34,0,12,17,8
10/13/2019,28,Ozone,BAYSIDE,55-079-0085,AQS,3,28,0,6,15,8
10/14/2019,32,NO2,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,6,22,0,10,22,32
10/15/2019,35,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,27,3,19,35,24
10/16/2019,25,Ozone,BAYSIDE,55-079-0085,AQS,5,25,0,8,13,15
10/17/2019,28,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,6,19,1,10,28,21
10/18/2019,57,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,6,27,3,25,57,24
10/19/2019,54,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,28,0,23,54,30
10/20/2019,53,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,28,0,15,53,9
10/21/2019,34,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,29,0,17,34,13
10/22/2019,23,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,23,0,13,15,9
10/23/2019,26,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,26,0,15,22,24
10/24/2019,25,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,21,0,10,25,23
10/25/2019,49,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,7,22,1,19,49,28
10/26/2019,54,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,7,23,1,17,54,27
10/27/2019,52,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,6,28,0,19,52,26
10/28/2019,29,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,6,16,0,13,29,17
10/29/2019,48,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,6,20,0,17,48,26
10/30/2019,41,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,7,24,0,19,41,30
10/31/2019,27,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,22,0,10,27,20
11/1/2019,45,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,17,0,19,45,22
11/2/2019,33,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,22,0,10,33,10
11/3/2019,31,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,21,0,12,31,19
11/4/2019,33,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,23,0,12,33,23
11/5/2019,37,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,24,0,17,37,29
11/6/2019,43,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,6,23,0,17,43,34
11/7/2019,27,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,26,0,25,27,22
11/8/2019,28,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,23,0,19,28,26
11/9/2019,50,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,20,0,29,50,17
11/10/2019,46,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,28,0,19,46,13
11/11/2019,28,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,28,0,19,20,19
11/12/2019,48,PM10,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,28,0,48,37,26
11/13/2019,43,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,21,1,38,43,23
11/14/2019,62,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,19,0,31,62,24
11/15/2019,70,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,6,32,0,43,70,25
11/16/2019,59,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,31,0,19,59,11
11/17/2019,71,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,19,0,24,71,27
11/18/2019,62,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,13,0,21,62,17
11/19/2019,54,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,13,0,20,54,20
11/20/2019,66,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,9,0,27,66,25
11/21/2019,42,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,20,0,13,42,16
11/22/2019,30,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,6,20,0,12,30,25
11/23/2019,52,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,18,0,18,52,17
11/24/2019,52,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,18,0,19,52,20
11/25/2019,64,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,6,10,0,30,64,26
11/26/2019,41,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,20,0,17,41,27
11/27/2019,25,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,25,0,8,23,11
11/28/2019,26,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,26,0,5,16,12
11/29/2019,32,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,22,0,9,32,20
11/30/2019,47,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,23,0,11,47,4
12/1/2019,31,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,31,0,6,18,12
12/2/2019,33,NO2,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,6,31,0,11,26,33
12/3/2019,45,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,25,0,17,45,18
12/4/2019,27,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,27,0,11,27,19
12/5/2019,56,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,16,0,21,56,31
12/6/2019,77,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,8,24,3,33,77,32
12/7/2019,58,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,8,19,0,18,58,23
12/8/2019,77,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,19,0,26,77,19
12/9/2019,64,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,26,0,21,64,22
12/10/2019,33,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,28,0,15,33,22
12/11/2019,45,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,7,25,0,19,45,33
12/12/2019,53,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,7,18,1,19,53,29
12/13/2019,67,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,11,0,25,67,23
12/14/2019,78,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,7,21,0,29,78,20
12/15/2019,30,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,21,0,12,30,19
12/16/2019,52,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AirNow,7,19,0,19,52,35
12/17/2019,55,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AirNow,5,28,0,28,55,25
12/18/2019,38,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AirNow,5,28,0,29,38,25
12/19/2019,72,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,8,19,1,31,72,30
12/20/2019,93,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,8,18,1,40,93,29
12/21/2019,75,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,23,1,29,75,20
12/22/2019,55,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,29,0,17,55,11
12/23/2019,53,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,23,0,17,53,22
12/24/2019,77,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,17,0,26,77,26
12/25/2019,57,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,19,0,17,57,26
12/26/2019,54,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,6,22,1,17,54,22
12/27/2019,56,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,21,1,19,56,27
12/28/2019,82,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,6,16,3,33,82,25
12/29/2019,44,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,17,0,11,44,15
12/30/2019,23,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,2,20,0,7,23,11
12/31/2019,26,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,26,0,8,26,13
